私	わたし	나, 저	사람	N5	私は韓国人です。	わたしはかんこくじんです。	저는 한국인입니다.
あなた	あなた	당신	사람	N5	あなたの名前は何ですか。	あなたのなまえはなんですか。	당신의 이름은 무엇입니까?
友達	ともだち	친구	사람	N5	友達と映画を見ます。	ともだちとえいがをみます。	친구와 영화를 봅니다.
家族	かぞく	가족	사람	N5	家族は四人です。	かぞくはよにんです。	가족은 네 명입니다.
父	ちち	(내) 아버지	사람	N5	父は会社員です。	ちちはかいしゃいんです。	아버지는 회사원입니다.
母	はは	(내) 어머니	사람	N5	母に手紙を書きました。	ははにてがみをかきました。	어머니에게 편지를 썼습니다.
兄	あに	(내) 형·오빠	사람	N5	兄は大学生です。	あにはだいがくせいです。	형은 대학생입니다.
姉	あね	(내) 누나·언니	사람	N5	姉は東京に住んでいます。	あねはとうきょうにすんでいます。	누나는 도쿄에 살고 있습니다.
弟	おとうと	남동생	사람	N5	弟は今年十歳です。	おとうとはことしじゅっさいです。	남동생은 올해 열 살입니다.
妹	いもうと	여동생	사람	N5	妹と一緒に学校へ行きます。	いもうとといっしょにがっこうへいきます。	여동생과 함께 학교에 갑니다.
子供	こども	아이	사람	N5	公園に子供が多いです。	こうえんにこどもがおおいです。	공원에 아이가 많습니다.
先生	せんせい	선생님	사람	N5	先生に質問しました。	せんせいにしつもんしました。	선생님께 질문했습니다.
学生	がくせい	학생	사람	N5	私は学生です。	わたしはがくせいです。	저는 학생입니다.
会社員	かいしゃいん	회사원	사람	N5	兄は会社員になりました。	あにはかいしゃいんになりました。	형은 회사원이 되었습니다.
医者	いしゃ	의사	사람	N5	医者に診てもらいます。	いしゃにみてもらいます。	의사에게 진찰받습니다.
人	ひと	사람	사람	N5	あの人は誰ですか。	あのひとはだれですか。	저 사람은 누구입니까?
男	おとこ	남자	사람	N5	男の子が三人います。	おとこのこがさんにんいます。	남자아이가 세 명 있습니다.
女	おんな	여자	사람	N5	女の人が待っています。	おんなのひとがまっています。	여자가 기다리고 있습니다.
家	いえ	집	장소	N5	毎日七時に家を出ます。	まいにちしちじにいえをでます。	매일 7시에 집을 나섭니다.
学校	がっこう	학교	장소	N5	学校まで歩いて行きます。	がっこうまであるいていきます。	학교까지 걸어서 갑니다.
